Location,Year,Number,Population,Rate
Millinocket,2016,0,"4,038",0.0
Milo,2016,0,"2,269",0.0
Milo,2018,0,"2,269",0.0
Milton Twp,2008,0,132,0.0
Milton Twp,2009,0,139,0.0
Milton Twp,2010,0,143,0.0
Milton Twp,2011,0,144,0.0
Milton Twp,2012,0,144,0.0
Milton Twp,2013,0,147,0.0
Milton Twp,2014,0,148,0.0
Milton Twp,2015,0,148,0.0
Milton Twp,2016,0,148,0.0
Milton Twp,2017,0,148,0.0
Minot,2010,0,"2,607",0.0
Monhegan Island Plt,2008,0,82,0.0
Monhegan Island Plt,2009,0,75,0.0
Monhegan Island Plt,2010,0,69,0.0
Monhegan Island Plt,2012,0,72,0.0
Monhegan Island Plt,2013,0,74,0.0
Monhegan Island Plt,2014,0,73,0.0
Monhegan Island Plt,2015,0,73,0.0
Monhegan Island Plt,2016,0,74,0.0
Monhegan Island Plt,2018,0,74,0.0
Monmouth,2008,0,"3,941",0.0
Monroe,2008,0,856,0.0
Monroe,2009,0,878,0.0
Monroe,2010,0,890,0.0
Monroe,2011,0,910,0.0
Monroe,2014,0,890,0.0
Monson,2016,0,664,0.0
Monson,2017,0,664,0.0
Monson,2018,0,664,0.0
Monticello,2014,0,760,0.0
Monticello,2016,0,751,0.0
Monticello,2017,0,751,0.0
Monticello,2018,0,751,0.0
Montville,2010,0,"1,032",0.0
Montville,2017,0,"1,068",0.0
Moose River,2008,0,205,0.0
Moose River,2009,0,213,0.0
Moose River,2010,0,218,0.0
Moose River,2011,0,221,0.0
Moose River,2012,0,221,0.0
Moose River,2013,0,218,0.0
Moose River,2014,0,216,0.0
Moose River,2015,0,214,0.0
Moose River,2016,0,215,0.0
Moose River,2017,0,215,0.0
Moose River,2018,0,215,0.0
Morrill,2008,0,923,0.0
Morrill,2009,0,904,0.0
Morrill,2010,0,884,0.0
Morrill,2012,0,894,0.0
Moscow,2008,0,534,0.0
Moscow,2009,0,524,0.0
Moscow,2010,0,512,0.0
Moscow,2011,0,521,0.0
Moscow,2012,0,521,0.0
Moscow,2013,0,502,0.0
Moscow,2014,0,503,0.0
Moscow,2015,0,493,0.0
Moscow,2016,0,493,0.0
Moscow,2017,0,493,0.0
Moscow,2018,0,493,0.0
Mount Chase,2008,0,233,0.0
Mount Chase,2010,0,201,0.0
Mount Chase,2011,0,203,0.0
Mount Chase,2012,0,205,0.0
Mount Chase,2013,0,204,0.0
Mount Chase,2014,0,203,0.0
Mount Chase,2015,0,202,0.0
Mount Chase,2016,0,200,0.0
Mount Chase,2017,0,200,0.0
Mount Chase,2018,0,200,0.0
Mount Desert,2009,0,"2,119",0.0
Mount Vernon,2010,0,"1,640",0.0
New Canada,2014,0,327,0.0
New Canada,2016,0,323,0.0
New Canada,2017,0,323,0.0
New Canada,2018,0,323,0.0
New Limerick,2014,0,487,0.0
New Limerick,2016,0,479,0.0
New Limerick,2017,0,479,0.0
New Limerick,2018,0,479,0.0
New Portland,2008,0,784,0.0
New Portland,2009,0,750,0.0
New Portland,2010,0,718,0.0
New Portland,2011,0,724,0.0
New Portland,2014,0,731,0.0
New Portland,2018,0,732,0.0
New Sharon,2008,0,"1,426",0.0
New Sharon,2012,0,"1,420",0.0
New Sharon,2013,0,"1,399",0.0
New Sharon,2014,0,"1,392",0.0
New Sharon,2016,0,"1,415",0.0
New Sweden,2014,0,606,0.0
New Sweden,2016,0,590,0.0
New Sweden,2017,0,590,0.0
New Sweden,2018,0,590,0.0
New Vineyard,2008,0,803,0.0
New Vineyard,2009,0,788,0.0
New Vineyard,2010,0,757,0.0
New Vineyard,2011,0,773,0.0
New Vineyard,2012,0,759,0.0
New Vineyard,2013,0,757,0.0
New Vineyard,2014,0,752,0.0
New Vineyard,2015,0,757,0.0
New Vineyard,2016,0,758,0.0
New Vineyard,2017,0,758,0.0
Newburgh,2008,0,"1,511",0.0
Newburgh,2010,0,"1,551",0.0
Newburgh,2011,0,"1,554",0.0
Newburgh,2012,0,"1,551",0.0
Newfield,2011,0,"1,549",0.0
Newport,2008,0,"3,121",0.0
Newport,2010,0,"3,275",0.0
Newport,2012,0,"3,239",0.0
Newport,2013,0,"3,239",0.0
Newry,2009,0,349,0.0
Newry,2010,0,329,0.0
Newry,2011,0,331,0.0
Newry,2012,0,327,0.0
Newry,2013,0,328,0.0
Newry,2014,0,330,0.0
Newry,2015,0,328,0.0
Newry,2016,0,334,0.0
Newry,2017,0,334,0.0
Newry,2018,0,334,0.0
Nobleboro,2008,0,"1,686",0.0
Norridgewock,2009,0,"3,331",0.0
Norridgewock,2010,0,"3,367",0.0
Norridgewock,2011,0,"3,384",0.0
North Franklin,2009,0,54,0.0
North Franklin,2010,0,61,0.0
North Franklin,2011,0,62,0.0
North Franklin,2012,0,61,0.0
North Franklin,2013,0,61,0.0
North Franklin,2014,0,61,0.0
North Franklin,2015,0,61,0.0
North Franklin,2016,0,61,0.0
North Franklin,2017,0,61,0.0
North Franklin,2018,0,61,0.0
North Haven,2008,0,405,0.0
North Haven,2009,0,373,0.0
North Haven,2010,0,355,0.0
North Penobscot,2008,0,436,0.0
North Penobscot,2010,0,463,0.0
North Penobscot,2011,0,466,0.0
North Penobscot,2012,0,461,0.0
North Penobscot,2013,0,460,0.0
North Penobscot,2014,0,461,0.0
North Penobscot,2015,0,454,0.0
North Penobscot,2016,0,455,0.0
North Penobscot,2017,0,455,0.0
North Penobscot,2018,0,455,0.0
North Washington,2009,0,508,0.0
North Washington,2011,0,499,0.0
North Washington,2012,0,496,0.0
North Washington,2013,0,492,0.0
North Washington,2014,0,486,0.0
North Washington,2015,0,484,0.0
North Washington,2016,0,473,0.0
North Washington,2017,0,473,0.0
North Washington,2018,0,473,0.0
Northeast Piscataquis,2016,0,268,0.0
Northeast Piscataquis,2017,0,268,0.0
Northeast Piscataquis,2018,0,268,0.0
Northeast Somerset,2008,0,327,0.0
Northeast Somerset,2009,0,365,0.0
Northeast Somerset,2010,0,390,0.0
Northeast Somerset,2011,0,395,0.0
Northeast Somerset,2012,0,392,0.0
Northeast Somerset,2013,0,383,0.0
Northeast Somerset,2014,0,385,0.0
Northeast Somerset,2015,0,376,0.0
Northeast Somerset,2016,0,370,0.0
Northeast Somerset,2017,0,370,0.0
Northeast Somerset,2018,0,370,0.0
Northfield,2009,0,139,0.0
Northfield,2011,0,148,0.0
Northfield,2012,0,148,0.0
Northfield,2013,0,150,0.0
Northfield,2014,0,147,0.0
Northfield,2015,0,146,0.0
Northfield,2016,0,145,0.0
Northfield,2017,0,145,0.0
Northfield,2018,0,145,0.0
Northport,2008,0,"1,510",0.0
Northport,2010,0,"1,520",0.0
Northport,2011,0,"1,526",0.0
Northwest Piscataquis,2016,0,146,0.0
Northwest Piscataquis,2017,0,146,0.0
Northwest Piscataquis,2018,0,146,0.0
Northwest Somerset,2009,0,55,0.0
Northwest Somerset,2010,0,62,0.0
Northwest Somerset,2011,0,63,0.0
Northwest Somerset,2012,0,62,0.0
Northwest Somerset,2013,0,62,0.0
Northwest Somerset,2014,0,61,0.0
Northwest Somerset,2015,0,59,0.0
Northwest Somerset,2016,0,60,0.0
Northwest Somerset,2017,0,60,0.0
Northwest Somerset,2018,0,60,0.0
Norway,2009,0,"4,957",0.0
Norway,2011,0,"5,026",0.0
Oakfield,2014,0,715,0.0
Oakfield,2016,0,708,0.0
Oakfield,2017,0,708,0.0
Oakfield,2018,0,708,0.0
Oakland,2008,0,"6,111",0.0
Oakland,2009,0,"6,203",0.0
Oakland,2012,0,"6,270",0.0
Ogunquit,2009,0,917,0.0
Ogunquit,2010,0,892,0.0
Ogunquit,2011,0,882,0.0
Ogunquit,2015,0,855,0.0
Old Town,2011,0,"7,731",0.0
Old Town,2012,0,"7,736",0.0
Orient,2014,0,148,0.0
Orient,2016,0,142,0.0
Orient,2017,0,142,0.0
Orient,2018,0,142,0.0
Orland,2008,0,"2,023",0.0
Orland,2010,0,"2,225",0.0
Orland,2011,0,"2,223",0.0
Orneville Twp,2016,0,249,0.0
Orneville Twp,2017,0,249,0.0
Orono,2011,0,"10,235",0.0
Orrington,2008,0,"3,735",0.0
Orrington,2010,0,"3,733",0.0
Orrington,2011,0,"3,666",0.0
Osborn,2008,0,71,0.0
Osborn,2009,0,70,0.0
Osborn,2010,0,67,0.0
Osborn,2011,0,68,0.0
Osborn,2012,0,66,0.0
Osborn,2013,0,65,0.0
Osborn,2014,0,64,0.0
Osborn,2015,0,62,0.0
Osborn,2016,0,61,0.0
Osborn,2017,0,61,0.0
Osborn,2018,0,61,0.0
Otis,2008,0,595,0.0
Otis,2010,0,672,0.0
Otis,2011,0,675,0.0
Otis,2013,0,687,0.0
Otis,2014,0,683,0.0
Otis,2015,0,684,0.0
Otis,2016,0,681,0.0
Otis,2018,0,681,0.0
Otisfield,2012,0,"1,779",0.0
Oxbow Plt,2014,0,68,0.0
Oxbow Plt,2016,0,65,0.0
Oxbow Plt,2017,0,65,0.0
Oxbow Plt,2018,0,65,0.0
Oxford,2010,0,"4,110",0.0
Palermo,2009,0,"1,439",0.0
Palermo,2010,0,"1,535",0.0
Palermo,2011,0,"1,568",0.0
Palermo,2012,0,"1,553",0.0
Palermo,2014,0,"1,565",0.0
Palmyra,2008,0,"2,067",0.0
Palmyra,2009,0,"2,033",0.0
Palmyra,2010,0,"1,986",0.0
Palmyra,2013,0,"1,972",0.0
Palmyra,2014,0,"1,950",0.0
Palmyra,2015,0,"1,954",0.0
Palmyra,2016,0,"1,946",0.0
Parkman,2016,0,854,0.0
Parsonsfield,2008,0,"1,873",0.0
Parsonsfield,2009,0,"1,868",0.0
Parsonsfield,2010,0,"1,898",0.0
Parsonsfield,2013,0,"1,936",0.0
Passadumkeag,2008,0,431,0.0
Passadumkeag,2010,0,374,0.0
Passadumkeag,2011,0,389,0.0
Passadumkeag,2012,0,380,0.0
Passadumkeag,2013,0,367,0.0
Passadumkeag,2014,0,372,0.0
Passadumkeag,2015,0,360,0.0
Passadumkeag,2016,0,360,0.0
Passadumkeag,2017,0,360,0.0
Passadumkeag,2018,0,360,0.0
Patten,2008,0,"1,029",0.0
Patten,2010,0,"1,017",0.0
Patten,2011,0,"1,028",0.0
Patten,2012,0,"1,014",0.0
Patten,2013,0,992,0.0
Patten,2014,0,991,0.0
Patten,2015,0,967,0.0
Patten,2016,0,957,0.0
Patten,2018,0,957,0.0
Pembroke,2009,0,837,0.0
Pembroke,2012,0,822,0.0
Pembroke,2013,0,814,0.0
Pembroke,2014,0,798,0.0
Pembroke,2015,0,789,0.0
Pembroke,2016,0,782,0.0
Pembroke,2017,0,782,0.0
Pembroke,2018,0,782,0.0
Penobscot,2010,0,"1,263",0.0
Perham,2014,0,354,0.0
Perham,2016,0,349,0.0
Perham,2017,0,349,0.0
Perham,2018,0,349,0.0
Perry,2009,0,907,0.0
Perry,2011,0,890,0.0
Perry,2012,0,894,0.0
Perry,2013,0,903,0.0
Perry,2014,0,880,0.0
Perry,2015,0,898,0.0
Perry,2016,0,887,0.0
Perry,2017,0,887,0.0
Perry,2018,0,887,0.0
Peru,2008,0,"1,575",0.0
Peru,2010,0,"1,541",0.0
Peru,2011,0,"1,555",0.0
Peru,2013,0,"1,543",0.0
Peru,2014,0,"1,559",0.0
Peru,2016,0,"1,543",0.0
Peru,2017,0,"1,543",0.0
Phillips,2008,0,"1,033",0.0
Phillips,2012,0,"1,022",0.0
Phillips,2014,0,"1,021",0.0
Phillips,2015,0,"1,010",0.0
Phillips,2016,0,"1,013",0.0
Phillips,2017,0,"1,013",0.0
Pittsfield,2009,0,"4,247",0.0
Pittsfield,2011,0,"4,151",0.0
Pittsfield,2012,0,"4,132",0.0
Pittsfield,2013,0,"4,149",0.0
Pittsfield,2014,0,"4,105",0.0
Pleasant Point,2009,0,690,0.0
Pleasant Point,2011,0,755,0.0
Pleasant Point,2012,0,754,0.0
Pleasant Point,2013,0,753,0.0
Pleasant Point,2014,0,745,0.0
Pleasant Point,2015,0,749,0.0
Pleasant Point,2016,0,744,0.0
Pleasant Point,2017,0,744,0.0
Pleasant Point,2018,0,744,0.0
Pleasant Ridge Plt,2008,0,70,0.0
Pleasant Ridge Plt,2009,0,83,0.0
Pleasant Ridge Plt,2010,0,93,0.0
Pleasant Ridge Plt,2011,0,93,0.0
Pleasant Ridge Plt,2012,0,92,0.0
Pleasant Ridge Plt,2013,0,88,0.0
Pleasant Ridge Plt,2014,0,86,0.0
Pleasant Ridge Plt,2015,0,82,0.0
Pleasant Ridge Plt,2016,0,84,0.0
Pleasant Ridge Plt,2017,0,84,0.0
Pleasant Ridge Plt,2018,0,84,0.0
Plymouth,2008,0,"1,358",0.0
Plymouth,2010,0,"1,380",0.0
Plymouth,2011,0,"1,379",0.0
Plymouth,2012,0,"1,385",0.0
Plymouth,2013,0,"1,403",0.0
Plymouth,2014,0,"1,403",0.0
Plymouth,2015,0,"1,387",0.0
Plymouth,2018,0,"1,393",0.0
Portage Lake,2014,0,390,0.0
Portage Lake,2016,0,371,0.0
Portage Lake,2017,0,371,0.0
Portage Lake,2018,0,371,0.0
Porter,2009,0,"1,513",0.0
Porter,2010,0,"1,498",0.0
Porter,2012,0,"1,504",0.0
Porter,2014,0,"1,509",0.0
Prentiss Twp T7 R3 NBPP,2008,0,210,0.0
Prentiss Twp T7 R3 NBPP,2010,0,214,0.0
Prentiss Twp T7 R3 NBPP,2011,0,217,0.0
Prentiss Twp T7 R3 NBPP,2012,0,216,0.0
Prentiss Twp T7 R3 NBPP,2013,0,218,0.0
Prentiss Twp T7 R3 NBPP,2014,0,216,0.0
Prentiss Twp T7 R3 NBPP,2015,0,214,0.0
Prentiss Twp T7 R3 NBPP,2016,0,210,0.0
Prentiss Twp T7 R3 NBPP,2017,0,210,0.0
Prentiss Twp T7 R3 NBPP,2018,0,210,0.0
Presque Isle,2014,0,"9,345",0.0
Presque Isle,2016,0,"9,167",0.0
Princeton,2009,0,833,0.0
Princeton,2011,0,845,0.0
Princeton,2012,0,827,0.0
Princeton,2013,0,820,0.0
Princeton,2014,0,821,0.0
Princeton,2015,0,824,0.0
Princeton,2017,0,819,0.0
Prospect,2008,0,666,0.0
Prospect,2009,0,693,0.0
Prospect,2010,0,709,0.0
Prospect,2011,0,698,0.0
Prospect,2012,0,704,0.0
Prospect,2015,0,785,0.0
Prospect,2017,0,725,0.0
Randolph,2009,0,"1,859",0.0
Randolph,2010,0,"1,772",0.0
Randolph,2012,0,"1,758",0.0
Randolph,2013,0,"1,738",0.0
Randolph,2015,0,"1,704",0.0
Randolph,2017,0,"1,695",0.0
Rangeley,2008,0,"1,089",0.0
Rangeley,2012,0,"1,161",0.0
Rangeley,2014,0,"1,172",0.0
Rangeley,2015,0,"1,148",0.0
Rangeley,2016,0,"1,140",0.0
Rangeley,2017,0,"1,140",0.0
Rangeley,2018,0,"1,140",0.0
Rangeley Plt,2008,0,125,0.0
Rangeley Plt,2009,0,164,0.0
Rangeley Plt,2010,0,189,0.0
Rangeley Plt,2011,0,188,0.0
Rangeley Plt,2012,0,187,0.0
Rangeley Plt,2013,0,185,0.0
Rangeley Plt,2014,0,186,0.0
Rangeley Plt,2015,0,182,0.0
Rangeley Plt,2016,0,183,0.0
Rangeley Plt,2017,0,183,0.0
Rangeley Plt,2018,0,183,0.0
Reed Plt,2014,0,155,0.0
Reed Plt,2016,0,145,0.0
Reed Plt,2017,0,145,0.0
Reed Plt,2018,0,145,0.0
Ripley,2008,0,460,0.0
Ripley,2009,0,479,0.0
Ripley,2010,0,488,0.0
Ripley,2011,0,487,0.0
Ripley,2012,0,486,0.0
Ripley,2013,0,476,0.0
Ripley,2014,0,469,0.0
Ripley,2015,0,473,0.0
Ripley,2016,0,465,0.0
Robbinston,2009,0,548,0.0
Robbinston,2011,0,557,0.0
Robbinston,2012,0,551,0.0
Robbinston,2013,0,553,0.0
Robbinston,2014,0,546,0.0
Robbinston,2015,0,524,0.0
Robbinston,2016,0,536,0.0
Robbinston,2018,0,536,0.0
Rome,2008,0,"1,101",0.0
Rome,2010,0,"1,010",0.0
Rome,2012,0,"1,015",0.0
Rome,2013,0,"1,008",0.0
Rome,2015,0,"1,013",0.0
Roque Bluffs,2009,0,289,0.0
Roque Bluffs,2011,0,303,0.0
Roque Bluffs,2012,0,300,0.0
Roque Bluffs,2013,0,296,0.0
Roque Bluffs,2014,0,291,0.0
Roque Bluffs,2015,0,296,0.0
Roque Bluffs,2016,0,292,0.0
Roque Bluffs,2017,0,292,0.0
Roque Bluffs,2018,0,292,0.0
Roxbury,2008,0,391,0.0
Roxbury,2009,0,382,0.0
Roxbury,2010,0,369,0.0
Roxbury,2011,0,372,0.0
Roxbury,2012,0,368,0.0
Roxbury,2013,0,366,0.0
Roxbury,2014,0,361,0.0
Roxbury,2015,0,355,0.0
Roxbury,2016,0,355,0.0
Roxbury,2017,0,355,0.0
Roxbury,2018,0,355,0.0
Rumford,2009,0,"5,954",0.0
Rumford,2011,0,"5,733",0.0
Rumford,2018,0,"5,508",0.0
Saint Agatha,2014,0,725,0.0
Saint Agatha,2016,0,701,0.0
Saint Agatha,2017,0,701,0.0
Saint Agatha,2018,0,701,0.0
Saint Albans,2008,0,"1,826",0.0
Saint Albans,2009,0,"1,939",0.0
Saint Albans,2010,0,"2,005",0.0
Saint Albans,2013,0,"2,021",0.0
Saint Albans,2016,0,"2,006",0.0
Saint Francis,2014,0,478,0.0
Saint Francis,2016,0,484,0.0
Saint Francis,2018,0,484,0.0
Saint John Plt,2014,0,273,0.0
Saint John Plt,2016,0,264,0.0
Saint John Plt,2017,0,264,0.0
Saint John Plt,2018,0,264,0.0
Sandy River Plt,2008,0,102,0.0
Sandy River Plt,2009,0,122,0.0
Sandy River Plt,2010,0,133,0.0
Sandy River Plt,2011,0,135,0.0
Sandy River Plt,2012,0,133,0.0
Sandy River Plt,2013,0,133,0.0
Sandy River Plt,2014,0,134,0.0
Sandy River Plt,2015,0,130,0.0
Sandy River Plt,2016,0,130,0.0
Sandy River Plt,2017,0,130,0.0
Sandy River Plt,2018,0,130,0.0
Sangerville,2016,0,"1,276",0.0
Sangerville,2018,0,"1,276",0.0
Searsmont,2008,0,"1,368",0.0
Searsport,2011,0,"2,567",0.0
Searsport,2012,0,"2,590",0.0
Sebago,2010,0,"1,719",0.0
Sebago,2013,0,"1,753",0.0
Sebec,2017,0,600,0.0
Sebec,2018,0,600,0.0
Sherman,2014,0,828,0.0
Sherman,2016,0,828,0.0
Sherman,2017,0,828,0.0
Shirley,2016,0,224,0.0
Shirley,2017,0,224,0.0
Shirley,2018,0,224,0.0
Smithfield,2008,0,952,0.0
Smithfield,2009,0,"1,004",0.0
Smithfield,2010,0,"1,033",0.0
Smithfield,2011,0,"1,043",0.0
Smithfield,2012,0,"1,034",0.0
Smithfield,2014,0,"1,016",0.0
Smithfield,2016,0,"1,019",0.0
Smyrna,2014,0,438,0.0
Smyrna,2016,0,454,0.0
Smyrna,2017,0,454,0.0
Smyrna,2018,0,454,0.0
Solon,2009,0,"1,040",0.0
Solon,2010,0,"1,053",0.0
Solon,2011,0,"1,035",0.0
Solon,2013,0,"1,048",0.0
Solon,2014,0,"1,026",0.0
Solon,2016,0,"1,024",0.0
Solon,2017,0,"1,024",0.0
Somerville,2008,0,535,0.0
Somerville,2009,0,543,0.0
Somerville,2011,0,556,0.0
Somerville,2015,0,561,0.0
Somerville,2017,0,571,0.0
Somerville,2018,0,571,0.0
Sorrento,2008,0,281,0.0
Sorrento,2009,0,280,0.0
Sorrento,2010,0,274,0.0
Sorrento,2011,0,278,0.0
Sorrento,2012,0,278,0.0
Sorrento,2014,0,280,0.0
Sorrento,2015,0,272,0.0
Sorrento,2017,0,273,0.0
Sorrento,2018,0,273,0.0
South Aroostook,2014,0,375,0.0
South Aroostook,2016,0,366,0.0
South Aroostook,2017,0,366,0.0
South Aroostook,2018,0,366,0.0
South Bristol,2010,0,892,0.0
South Bristol,2011,0,876,0.0
South Franklin,2008,0,61,0.0
South Franklin,2009,0,67,0.0
South Franklin,2010,0,69,0.0
South Franklin,2011,0,69,0.0
South Franklin,2012,0,69,0.0
South Franklin,2013,0,69,0.0
South Franklin,2014,0,67,0.0
South Franklin,2015,0,66,0.0
South Franklin,2016,0,66,0.0
South Franklin,2017,0,66,0.0
South Franklin,2018,0,66,0.0
South Oxford,2008,0,518,0.0
South Oxford,2009,0,559,0.0
South Oxford,2010,0,579,0.0
South Oxford,2011,0,585,0.0
South Oxford,2012,0,583,0.0
South Oxford,2013,0,583,0.0
South Oxford,2014,0,589,0.0
South Oxford,2015,0,584,0.0
South Oxford,2016,0,590,0.0
South Oxford,2017,0,590,0.0
South Oxford,2018,0,590,0.0
Southport,2008,0,661,0.0
Southport,2009,0,631,0.0
Southport,2010,0,606,0.0
Southport,2011,0,587,0.0
Southport,2013,0,583,0.0
Southport,2016,0,577,0.0
Southport,2017,0,577,0.0
Southport,2018,0,577,0.0
Southwest Harbor,2008,0,"1,930",0.0
Southwest Harbor,2009,0,"1,853",0.0
Springfield,2008,0,375,0.0
Springfield,2010,0,409,0.0
Springfield,2011,0,417,0.0
Springfield,2012,0,412,0.0
Springfield,2013,0,403,0.0
Springfield,2014,0,401,0.0
Springfield,2015,0,389,0.0
Springfield,2016,0,386,0.0
Springfield,2017,0,386,0.0
Springfield,2018,0,386,0.0
Square Lake,2014,0,606,0.0
Square Lake,2016,0,592,0.0
Square Lake,2017,0,592,0.0
Square Lake,2018,0,592,0.0
Stacyville,2008,0,393,0.0
Stacyville,2010,0,396,0.0
Stacyville,2011,0,397,0.0
Stacyville,2012,0,393,0.0
Stacyville,2013,0,386,0.0
Stacyville,2014,0,391,0.0
Stacyville,2015,0,390,0.0
Stacyville,2016,0,388,0.0
Stacyville,2018,0,388,0.0
Starks,2008,0,593,0.0
Starks,2009,0,624,0.0
Starks,2010,0,640,0.0
Starks,2011,0,651,0.0
Starks,2012,0,646,0.0
Starks,2013,0,643,0.0
Starks,2016,0,642,0.0
Stetson,2008,0,"1,143",0.0
Stetson,2010,0,"1,202",0.0
Stetson,2011,0,"1,200",0.0
Stetson,2012,0,"1,212",0.0
Stetson,2013,0,"1,214",0.0
Steuben,2013,0,"1,139",0.0
Steuben,2014,0,"1,126",0.0
Steuben,2018,0,"1,124",0.0
Stockholm,2014,0,253,0.0
Stockholm,2016,0,240,0.0
Stockholm,2017,0,240,0.0
Stockholm,2018,0,240,0.0
Stockton Springs,2009,0,"1,578",0.0
Stoneham,2008,0,270,0.0
Stoneham,2009,0,254,0.0
Stoneham,2010,0,236,0.0
Stoneham,2011,0,238,0.0
Stoneham,2012,0,237,0.0
Stoneham,2013,0,237,0.0
Stoneham,2014,0,235,0.0
Stoneham,2015,0,235,0.0
Stoneham,2016,0,235,0.0
Stoneham,2017,0,235,0.0
Stoneham,2018,0,235,0.0
Stonington,2008,0,"1,165",0.0
Stonington,2009,0,"1,106",0.0
Stonington,2010,0,"1,043",0.0
Stow,2008,0,346,0.0
Stow,2009,0,372,0.0
Stow,2010,0,385,0.0
Stow,2012,0,385,0.0
Stow,2013,0,382,0.0
Stow,2014,0,380,0.0
Stow,2015,0,382,0.0
Stow,2016,0,384,0.0
Stow,2018,0,384,0.0
Strong,2008,0,"1,206",0.0
Strong,2011,0,"1,223",0.0
Strong,2013,0,"1,192",0.0
Strong,2014,0,"1,178",0.0
Strong,2015,0,"1,179",0.0
Strong,2017,0,"1,179",0.0
Sullivan,2008,0,"1,229",0.0
Sullivan,2010,0,"1,236",0.0
Sullivan,2011,0,"1,256",0.0
Sullivan,2012,0,"1,260",0.0
Sullivan,2013,0,"1,257",0.0
Sullivan,2014,0,"1,267",0.0
Sullivan,2017,0,"1,254",0.0
Sumner,2008,0,825,0.0
Sumner,2009,0,900,0.0
Sumner,2010,0,939,0.0
Sumner,2011,0,953,0.0
Sumner,2012,0,949,0.0
Sumner,2015,0,942,0.0
Sumner,2018,0,955,0.0
Surry,2008,0,"1,437",0.0
Surry,2011,0,"1,473",0.0
Surry,2012,0,"1,464",0.0
Swans Island,2008,0,340,0.0
Swans Island,2009,0,338,0.0
Swans Island,2012,0,335,0.0
Swanville,2012,0,"1,389",0.0
Swanville,2015,0,"1,467",0.0
Sweden,2008,0,364,0.0
Sweden,2009,0,383,0.0
Sweden,2010,0,391,0.0
Sweden,2013,0,389,0.0
Sweden,2014,0,384,0.0
Sweden,2015,0,386,0.0
Sweden,2016,0,383,0.0
Sweden,2017,0,383,0.0
Talmadge,2009,0,63,0.0
Talmadge,2011,0,65,0.0
Talmadge,2012,0,62,0.0
Talmadge,2013,0,60,0.0
Talmadge,2014,0,61,0.0
Talmadge,2015,0,62,0.0
Talmadge,2016,0,61,0.0
Talmadge,2017,0,61,0.0
Talmadge,2018,0,61,0.0
Temple,2008,0,558,0.0
Temple,2009,0,549,0.0
Temple,2011,0,525,0.0
Temple,2012,0,528,0.0
Temple,2013,0,531,0.0
Temple,2014,0,527,0.0
Temple,2015,0,521,0.0
Temple,2016,0,521,0.0
Temple,2017,0,521,0.0
Temple,2018,0,521,0.0
Thorndike,2008,0,791,0.0
Thorndike,2009,0,851,0.0
Thorndike,2010,0,890,0.0
Thorndike,2011,0,912,0.0
Topsfield,2009,0,232,0.0
Topsfield,2012,0,234,0.0
Topsfield,2013,0,233,0.0
Topsfield,2014,0,231,0.0
Topsfield,2015,0,231,0.0
Topsfield,2016,0,224,0.0
Topsfield,2017,0,224,0.0
Topsfield,2018,0,224,0.0
Tremont,2008,0,"1,586",0.0
Tremont,2011,0,"1,542",0.0
Tremont,2012,0,"1,548",0.0
Trenton,2009,0,"1,481",0.0
Trenton,2010,0,"1,481",0.0
Trenton,2011,0,"1,506",0.0
Troy,2008,0,"1,020",0.0
Troy,2009,0,"1,030",0.0
Troy,2010,0,"1,030",0.0
Troy,2011,0,"1,043",0.0
Troy,2012,0,"1,032",0.0
Troy,2014,0,"1,026",0.0
Turner,2008,0,"5,404",0.0
Unity,2008,0,"1,996",0.0
Unity,2010,0,"2,099",0.0
Upton,2008,0,59,0.0
Upton,2009,0,91,0.0
Upton,2010,0,113,0.0
Upton,2011,0,112,0.0
Upton,2012,0,111,0.0
Upton,2013,0,110,0.0
Upton,2014,0,110,0.0
Upton,2015,0,109,0.0
Upton,2016,0,107,0.0
Upton,2017,0,107,0.0
Upton,2018,0,107,0.0
Van Buren,2014,0,"2,050",0.0
Van Buren,2016,0,"1,934",0.0
Van Buren,2017,0,"1,934",0.0
Van Buren,2018,0,"1,934",0.0
Vanceboro,2009,0,141,0.0
Vanceboro,2011,0,142,0.0
Vanceboro,2012,0,141,0.0
Vanceboro,2013,0,139,0.0
Vanceboro,2014,0,137,0.0
Vanceboro,2015,0,135,0.0
Vanceboro,2016,0,130,0.0
Vanceboro,2017,0,130,0.0
Vanceboro,2018,0,130,0.0
Veazie,2008,0,"1,871",0.0
Veazie,2010,0,"1,919",0.0
Veazie,2011,0,"1,928",0.0
Veazie,2013,0,"1,940",0.0
Veazie,2015,0,"1,882",0.0
Verona Island,2008,0,548,0.0
Verona Island,2009,0,551,0.0
Verona Island,2011,0,542,0.0
Verona Island,2012,0,542,0.0
Verona Island,2016,0,531,0.0
Vienna,2008,0,595,0.0
Vienna,2009,0,583,0.0
Vienna,2011,0,577,0.0
Vienna,2012,0,577,0.0
Vienna,2013,0,580,0.0
Vienna,2014,0,585,0.0
Vienna,2016,0,589,0.0
Vinalhaven,2008,0,"1,334",0.0
Vinalhaven,2009,0,"1,227",0.0
Vinalhaven,2012,0,"1,167",0.0
Wade,2014,0,268,0.0
Wade,2016,0,265,0.0
Wade,2017,0,265,0.0
Wade,2018,0,265,0.0
Waite,2009,0,102,0.0
Waite,2011,0,104,0.0
Waite,2012,0,102,0.0
Waite,2013,0,101,0.0
Waite,2014,0,100,0.0
